search_term,status,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,match_type,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,is_brand_term,routing_status,routing_reason,natural_intent,blocked_from
enterprise order management,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
enterprise order management system,ADDED,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,7,1,187.76,2.0,26.0,14.29,187.76,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
internal order management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms business,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms ems platforms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms ems systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms erp,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms erp system,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms in business,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms logiciel,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms management,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms order management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,8,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"NB - General B2B, NB - General B2B"
oms orders,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms platform,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,19,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms platforms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms software,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,22,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms solutions,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms system,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,22,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order and execution management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
order management erp,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management program,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management service,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management system,ADDED,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,41,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management system oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,6,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"NB - General B2B, NB - General B2B"
order management systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,8,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
platform oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
retail oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,13,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
the oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
what is an oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,39,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"B2B EComm, NB - General B2B"
what is an oms system,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,23,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"B2B EComm, NB - General B2B"
what is oms software,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,38,1,87.5,0.0,0.0,2.63,87.5,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"B2B EComm, OMS, NB - General B2B"
what is oms system,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,6,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"B2B EComm, OMS, NB - General B2B"
what is the oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"B2B EComm, NB - General B2B"
any order software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
best ecommerce order management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
best oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
best oms software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
best oms systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
best order management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,17,1,36.5,0.0,0.0,5.88,36.5,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
best order management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,6,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
customer order management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"OMS, NB - General B2B"
digital order management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
enterprise order management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms business,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms order management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,17,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"NB - General B2B, NB - General B2B"
oms platform,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,10,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms platforms,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,12,1,248.9,0.0,0.0,8.33,248.9,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms providers,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,10,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,47,1,162.88,0.0,0.0,2.13,162.88,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms solutions,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,13,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms system,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,91,1,52.89,0.0,0.0,1.1,52.89,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,40,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
oms tools,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,9,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
online order management,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,3,1,36.47,0.0,0.0,33.33,36.47,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
online order management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,6,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management application,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management platform,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management platforms,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,8,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management program,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management service,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,10,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,67,3,215.53,0.0,0.0,4.48,71.84,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management software oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"NB - General B2B, NB - General B2B"
order management softwares,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management solution,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management solutions,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,6,1,96.6,0.0,0.0,16.67,96.6,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management system,ADDED,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,416,20,1330.05,1.0,1.0,4.81,66.5,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management system oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,36,1,76.95,0.0,0.0,2.78,76.95,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"NB - General B2B, NB - General B2B"
order management system providers,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management system software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,7,1,31.65,0.0,0.0,14.29,31.65,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management system solution,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,52,2,72.0,0.0,0.0,3.85,36.0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management systems oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,9,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,"NB - General B2B, NB - General B2B"
order management systems software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management tool,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order management tools,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order manager software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,OMS
order master software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
order processing platform,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,OMS
order processing software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,7,1,55.4,0.0,0.0,14.29,55.4,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,OMS
order processing softwares,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,OMS
order software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,8,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
order taking software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
order tracking software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
ordering management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,6,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
orders management,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
orders management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
orders software,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
orders system,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
platform oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
popular order management systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,best order management systems,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
