keyword,match_type,criterion_id,final_urls,ad_group_name,ad_group_id,campaign_name,campaign_id,impressions,clicks
b2b ecommerce solution,EXACT,295811616670,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,50,2
kibo platform,EXACT,314422249431,https://kibocommerce.com/,Kibo,143748213014,Search - Brand,19534321347,48,7
global order management system,EXACT,313341119648,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,48,0
order management system for b2b,EXACT,1651892258843,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,42,2
distributor inventory management,EXACT,361696120529,https://kibocommerce.com/platform/inventory-visibility/,NB - Distributors,186344145054,Search - NonBrand,22740783748,35,0
kibo order management,EXACT,632299078024,https://kibocommerce.com/platform/order-management/,OMS,146491133473,Search - Brand,19534321347,29,8
distributor commerce platform,EXACT,926328296381,https://kibocommerce.com/ppc/distributor/,NB - Distributors,186344145054,Search - NonBrand,22740783748,29,1
kibo agentic commerce,EXACT,2425344757165,https://kibocommerce.com/platform/agentic-commerce/,Kibo,143748213014,Search - Brand,19534321347,25,3
oms for ecommerce businesses,EXACT,2416995562519,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,20,0
b2b vendor portal,EXACT,883532967027,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,19,0
kibo order management system,EXACT,1060313264879,https://kibocommerce.com/platform/order-management/,OMS,146491133473,Search - Brand,19534321347,16,4
manufacturing quote automation,EXACT,2446631002773,https://kibocommerce.com/ppc/manufacturing/,NB - Manufacturers,184871850702,Search - NonBrand,22740783748,15,3
b2b dealer portal,EXACT,299341196134,https://kibocommerce.com/,NB - General B2B,184871850902,Search - NonBrand,22740783748,14,0
distributor b2b portal,EXACT,2451751434652,https://kibocommerce.com/ppc/distributor/,NB - Distributors,186344145054,Search - NonBrand,22740783748,11,2
dropship supplier integration,EXACT,2446631003493,https://kibocommerce.com/platform/connect-hub/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,10,2
manufacturer b2b portal,EXACT,2446631001813,https://kibocommerce.com/ppc/manufacturing/,NB - Manufacturers,184871850702,Search - NonBrand,22740783748,9,1
order management system demo,EXACT,916391898374,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,7,0
multi warehouse order management,EXACT,2428927080602,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,6,2
order management system pricing,EXACT,643717491743,https://kibocommerce.com/speak-with-an-expert/,OMS,181971021779,Search - NonBrand,22740783748,5,0
manufacturing commerce platform,EXACT,307380409372,https://kibocommerce.com/ppc/manufacturing/,NB - Manufacturers,184871850702,Search - NonBrand,22740783748,5,0
wholesale dealer portal,EXACT,2446631003213,https://kibocommerce.com/ppc/wholesale/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,4,0
distributor catalog management,EXACT,2513177622197,https://kibocommerce.com/platform/catalog-price-promo/,NB - Distributors,186344145054,Search - NonBrand,22740783748,4,0
wholesale volume based pricing,EXACT,2446631004213,https://kibocommerce.com/request-a-demo/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,2,0
b2b buyer portal,EXACT,1722629831881,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,2,0
enterprise b2b ecommerce platform,EXACT,2405611383551,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,1,0
