Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Clicks,Impr.,CTR,Avg. CPC,Cost,Quality Score (hist.),Exp. CTR (hist.),Landing page exp. (hist.),Ad relevance (hist.),Conv. rate
Enabled,[b2b ecommerce solution],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,0,14,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[b2b mobile commerce],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,0,3,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[b2b catalog management],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,0,9,0.00%,0,0,5,Average,Below average,Above average,0.00%
Enabled,[distributor inventory management],Exact match,NB - Distributors,Not eligible,campaign paused,0,USD,0,1,37,2.70%,106.07,106.07,3,Below average,Below average,Above average,0.00%
Enabled,[wholesale order management system],Exact match,NB - Wholesalers,Not eligible,campaign paused,0,USD,0,7,90,7.78%,116.71,816.98,3,Below average,Below average,Above average,0.00%
Enabled,[wholesale ecommerce platform],Exact match,NB - Wholesalers,Not eligible,campaign paused,0,USD,0,29,426,6.81%,24.92,722.64,3,Below average,Below average,Above average,0.00%
Enabled,[wholesale distribution platform],Exact match,NB - Wholesalers,Not eligible,campaign paused,0,USD,0,3,123,2.44%,14.33,42.99,3,Below average,Below average,Above average,0.00%
Enabled,[wholesale b2b portal],Exact match,NB - Wholesalers,Not eligible,campaign paused,1,USD,947.76,41,426,9.62%,23.12,947.76,3,Below average,Below average,Above average,2.44%
Enabled,[b2b agentic commerce],Exact match,Agentic Commerce,Not eligible,campaign paused; ad group paused,0,USD,0,2,36,5.56%,87.61,175.23,3,Below average,Below average,Above average,0.00%
Enabled,[subscription commerce],Exact match,B2B Other Keywords,Not eligible,campaign paused; ad group paused,0,USD,0,0,1,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[manufacturer ecommerce platform],Exact match,NB - Manufacturers,Not eligible,campaign paused,0,USD,0,7,64,10.94%,35.86,250.99,3,Below average,Below average,Above average,0.00%
Enabled,[manufacturing order management system],Exact match,NB - Manufacturers,Not eligible,campaign paused; low quality,0,USD,0,4,66,6.06%,147.05,588.21,2,Below average,Below average,Average,0.00%
Enabled,[enterprise order management system],Exact match,OMS,Not eligible,campaign paused; low quality,0,USD,0,6,450,1.33%,52.93,317.58,2,Below average,Below average,Average,0.00%
Enabled,[order management system ecommerce],Exact match,OMS,Not eligible,campaign paused; low quality,0,USD,0,2,153,1.31%,104.14,208.28,2,Below average,Below average,Average,0.00%
Enabled,[global order management system],Exact match,OMS,Not eligible,campaign paused,0,USD,0,1,41,2.44%,63.82,63.82,3,Below average,Below average,Above average,0.00%
Enabled,[best order management systems],Exact match,OMS,Not eligible,campaign paused,2,USD,2666.05,58,"1,466",3.96%,91.93,5332.11,3,Below average,Below average,Above average,3.45%
Enabled,[b2b order management system],Exact match,OMS,Not eligible,campaign paused,0,USD,0,12,180,6.67%,87.81,1053.74,3,Below average,Below average,Above average,0.00%
Enabled,[ecommerce oms],Exact match,OMS,Not eligible,campaign paused,0,USD,0,5,272,1.84%,68.88,344.4,3,Below average,Below average,Above average,0.00%
Enabled,[order management system pricing],Exact match,OMS,Not eligible,campaign paused,0,USD,0,1,39,2.56%,49.22,49.22,3,Below average,Below average,Above average,0.00%
Enabled,[b2c ecommerce software],Exact match,B2C EComm,Not eligible,campaign paused; ad group paused,0,USD,0,0,9,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[b2c commerce],Exact match,B2C EComm,Not eligible,campaign paused; ad group paused,0,USD,0,4,160,2.50%,38.75,154.99,3,Below average,Below average,Above average,0.00%
Enabled,[b2c ecommerce solution],Exact match,B2C EComm,Not eligible,campaign paused; ad group paused,0,USD,0,0,9,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[b2c ecommerce platform],Exact match,B2C EComm,Not eligible,campaign paused; ad group paused,0,USD,0,2,28,7.14%,27.81,55.61,3,Below average,Below average,Above average,0.00%
Enabled,[b2b ecommerce services],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,3,125,2.40%,34.84,104.51,3,Below average,Below average,Above average,0.00%
Enabled,[b2b ecommerce platforms],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,16,557,2.87%,59.14,946.2,3,Below average,Below average,Above average,0.00%
Enabled,[digital commerce solutions],Exact match,NB - General B2B,Not eligible,campaign paused,1,USD,381.5,10,397,2.52%,38.15,381.5,3,Below average,Below average,Above average,10.00%
Enabled,[best b2b ecommerce platforms],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,22,607,3.62%,41.58,914.71,3,Below average,Below average,Above average,0.00%
Enabled,[b2b vendor portal],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,4,93,4.30%,50.89,203.56,3,Below average,Below average,Above average,0.00%
Enabled,[unified commerce platform],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,13,275,4.73%,52.66,684.59,3,Below average,Below average,Above average,0.00%
Enabled,[b2b dealer portal],Exact match,NB - General B2B,Not eligible,campaign paused; low quality,0,USD,0,0,14,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[b2b buyer portal],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,0,9,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[b2b commerce software],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,12,563,2.13%,27.01,324.09,3,Below average,Below average,Above average,0.00%
Enabled,[b2b trade portal],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,19,585,3.25%,30.93,587.62,3,Below average,Below average,Above average,0.00%
Enabled,[b2b ecommerce solution],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,1,82,1.22%,20.81,20.81,3,Below average,Below average,Above average,0.00%
Enabled,[b2b order portal],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,15,382,3.93%,37.12,556.79,5,Average,Below average,Above average,0.00%
Enabled,[multi location inventory management],Exact match,NB - General B2B,Not eligible,campaign paused,0,USD,0,9,185,4.86%,81.06,729.5,3,Below average,Below average,Above average,0.00%
Enabled,[b2b commerce platform],Exact match,NB - General B2B,Not eligible,campaign paused,1,USD,3754.62,93,"1,792",5.19%,40.37,3754.62,3,Below average,Below average,Above average,1.08%
